file,case,title
"200103/臺灣南投地方法院刑事/NTDM,89,訴,492,20010309,2.json",訴,違反廢棄物清理法
"200103/臺灣基隆地方法院刑事/KLDM,89,訴,603,20010327,1.json",訴,違反廢棄物清理法
"200103/臺灣基隆地方法院刑事/KLDM,90,訴,21,20010305,1.json",訴,違反廢棄物清理法
"200103/臺灣屏東地方法院刑事/PTDM,89,訴,359,20010327,2.json",訴,違反廢棄物清理法等
"200103/臺灣屏東地方法院刑事/PTDM,89,訴,508,20010322,1.json",訴,違反廢棄物清理法
"200103/臺灣屏東地方法院刑事/PTDM,89,訴,702,20010322,1.json",訴,違反廢棄物清理法等
"200103/臺灣屏東地方法院刑事/PTDM,90,訴,5,20010323,2.json",訴,違反廢棄物清理法
"200103/臺灣新竹地方法院刑事/SCDM,90,竹簡,44,20010316,1.json",竹簡,違反廢棄物清理法
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1574,20010320.json",訴,違反廢棄物清理法等
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1606,20010306.json",訴,違反廢棄物清理法
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1709,20010323.json",訴,違反廢棄物清理法
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1713,20010309.json",訴,違反廢棄物清理法等
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1715,20010315.json",訴,違反廢棄物清理法
"200103/臺灣桃園地方法院刑事/TYDM,89,訴,1793,20010307.json",訴,違反廢棄物清理法
"200103/臺灣桃園地方法院刑事/TYDM,90,訴,175,20010315.json",訴,違反廢棄物清理法
"200103/臺灣苗栗地方法院刑事/MLDM,89,訴,455,20010321,1.json",訴,違反廢棄物清理法
"200103/臺灣高等法院臺南分院刑事/TNHM,90,附民,52,20010321,1.json",附民,違反廢棄物清理法
"200103/臺灣高等法院高雄分院刑事/KSHM,91,上訴,244,20010329,1.json",上訴,違反廢棄物清理法
"200103/臺灣高雄地方法院刑事/KSDM,89,訴,2610,20010330,3.json",訴,違反廢棄物清理法
"200103/臺灣高雄地方法院刑事/KSDM,89,訴,2967,20010328,1.json",訴,違反廢棄物清理法
"200103/臺灣高雄地方法院刑事/KSDM,90,訴,211,20010330,2.json",訴,違反廢棄物清理法
"200104/臺灣南投地方法院刑事/NTDM,90,埔刑簡,66,20010419,1.json",埔刑簡,違反廢棄物清理法
"200104/臺灣南投地方法院刑事/NTDM,90,投刑簡,155,20010419,1.json",投刑簡,違反廢棄物清理法
"200104/臺灣屏東地方法院刑事/PTDM,89,易,1588,20010410,2.json",易,違反廢棄物清理法
"200104/臺灣屏東地方法院刑事/PTDM,89,訴,725,20010413,1.json",訴,違反廢棄物清理法
"200104/臺灣屏東地方法院刑事/PTDM,90,訴,203,20010430,1.json",訴,違反廢棄物清理法
"200104/臺灣屏東地方法院刑事/PTDM,90,訴,214,20010430,1.json",訴,違反廢棄物清理法
"200104/臺灣屏東地方法院刑事/PTDM,90,訴,67,20010412,1.json",訴,違反廢棄物清理法
"200104/臺灣新竹地方法院刑事/SCDM,90,訴,55,20010425,1.json",訴,違反廢棄物清理法
"200104/臺灣臺中地方法院刑事/TCDM,90,訴,585,20010426,1.json",訴,違反廢棄物清理法
"200104/臺灣臺中地方法院刑事/TCDM,90,訴,595,20010427,1.json",訴,違反廢棄物清理法
